Manufacturer,Year,Price (USD),MPG MIN,MPG MAX,Engine Volume (L),Mileage,Accidents or damage,Seller Rating,Seller Reviews Count,Car Rating,Car Reviews Count,Car Recommendation Rate,Car Comfort Rating,Car Interior Rating,Car Performance Rating,Car Value Rating,Car Exterior Rating,Car Reliability Rating
Mitsubishi,2023,"21,926",25,28,1.5,"26,106",0,4.8,243,3,,,5,5,1,3,4,2
Mitsubishi,2024,"24,799",25,26,1.5,"11,239",0,4.5,224,1,,,3,3,3,2,3,4
Cadillac,1991,"12,500",0,0,,"64,618",0,2.2,282,4,3,100,4.3,4.3,4.7,4,5,3.3
Cadillac,2021,"31,995",18,26,3.6,"24,485",0,4.4,71,4.8,19,94,4.9,4.8,4.8,4.6,4.8,4.7
RAM,2020,"29,991",16,23,5.7,"30,080",1,4.9,,4.6,20,95,4.8,4.8,4.8,4.5,4.8,4.7
Dodge,2000,"16,980",12,16,5.9,"112,128",0,,15,4,24,87,4,3.5,4,4.3,4.2,4
Subaru,2022,"21,500",27,35,2.5,"47,350",1,4.7,,5,3,100,5,5,5,5,5,5
Honda,2021,"19,730",29,37,2,"66,422",1,,13,4.6,50,90,4.6,4.7,4.6,4.6,4.7,4.5
Mazda,2021,"19,995",27,32,2,"80,551",0,,0,5,2,100,4.5,4.5,5,5,5,5
Jeep,2021,"37,998",,,,"38,003",,,3,3.3,15,53,4.1,4.4,3.6,3.3,5,3.1
Honda,2021,"29,600",40,35,2,"45,291",0,,,4.8,122,95,4.9,4.8,4.7,4.7,4.8,4.8
Lincoln,2023,"31,538",21,26,2,"16,409",0,,38,5,2,100,5,5,5,5,5,5
Jeep,2007,"4,950",23,27,2.4,"198,100",1,5,7,4.1,49,77,4.2,4,4,4.2,4.4,4
Nissan,2019,"35,500",15,21,5.6,"47,409",0,,303,4.5,44,86,4.9,4.7,4.8,4.6,4.8,4.5
Dodge,2008,"2,995",15,24,3.7,"196,837",1,,1,4,47,78,4,4.1,4.1,3.9,4.4,4.1
Nissan,2021,"14,500",32,40,1.6,"78,235",0,4.6,198,4.3,15,80,4.4,4.4,4,3.9,4.5,4.2
MINI,2012,"8,990",25,31,1.6,"108,044",1,4,43,4.3,74,81,4.4,4.4,4.3,3.9,4.7,4.1
Jeep,2017,"14,295",22,26,2,"87,899",0,,9,4.6,121,90,4.6,4.5,4.5,4.6,4.7,4.6
Kia,2023,"32,801",22,29,2.5,"17,763",0,,143,4.7,15,93,4.5,4.7,4.6,4.5,4.9,4.8
Toyota,2021,"31,998",19,24,3.5,"33,940",,4.8,392,4.8,91,95,4.7,4.7,4.6,4.7,4.8,4.9
Hyundai,2024,"26,600",23,29,2.5,"1,265",0,4.6,480,4.4,5,80,4.8,4.8,4.6,4.4,4.8,4.6
,,,,,,,,,,,,,,,,,,
Nissan,2022,"21,008",26,36,2.5,"39,977",1,4.8,362,4.2,12,83,4.8,4.7,4.2,4.2,4.9,4.5
BMW,2017,"29,999",20,29,3,"48,495",0,,42,4.9,30,93,4.9,4.7,4.9,4.6,4.8,4.8
Acura,2009,"10,995",18,26,3.5,"123,000",0,,42,4.7,66,93,4.6,4.7,4.8,4.6,4.7,4.8
Tesla,2022,"31,795",,,,"23,718",0,4.6,,4.4,8,87,4.9,4.8,5,4.2,4.2,4.2
GMC,2021,"38,923",,,6.6,"110,019",0,3.9,64,4.4,27,81,4.8,4.6,4.5,4.1,4.6,4.2
BMW,2002,"5,990",19,0,2.5,"119,299",1,2.3,39,4.4,65,87,4.4,4.3,4.5,4.3,4.6,4.2
Chevrolet,2000,"3,999",16,21,4.3,"200,858",0,4.8,,4.6,23,95,3.9,4.2,4.3,4.5,4.4,4.5
Cadillac,1993,"10,000",14,21,4.6,"51,355",0,2.2,282,4.4,18,83,4.4,4.5,4.2,4.3,4.8,4.1
Hyundai,2023,"24,500",22,25,2.5,"28,721",1,,7,4.5,15,93,4.9,4.9,4.5,4.6,4.7,4.5
Jeep,2018,"24,885",17,23,3.6,"72,580",1,,2,4.7,208,93,4.6,4.7,4.7,4.3,4.9,4.6
Dodge,2020,"22,998",19,30,,"59,318",0,,6,4.9,75,98,4.9,4.8,4.9,4.8,5,4.9
Ford,2017,"14,999",20,27,2.5,"101,901",1,,75,4.8,9,100,4.8,4.7,4.7,4.9,4.6,4.7
Mazda,2014,"7,299",22,28,2.5,"111,400",0,4.6,,4.5,19,89,4.2,4.4,4.4,4.5,4.5,4.6
Nissan,2018,"15,983",31,36,1.6,"59,171",0,4.7,959,4.4,63,84,4.5,4.4,4.3,4.5,4.7,4.4
Honda,2022,"28,900",19,24,3.5,"51,507",0,4.6,,4.6,12,91,4.8,4.8,4.5,4.5,4.8,4.8
GMC,2023,"35,990",19,27,3.6,"15,863",0,4.5,756,4.4,7,71,4.4,4.4,4.3,4.3,4.3,4.3
Jeep,2021,"34,775",19,24,3.6,"76,215",0,4.9,232,4.9,50,94,4.9,5,4.9,4.6,4.9,4.8
Audi,2019,"29,994",23,34,2,"44,004",1,3.9,442,4.9,16,93,4.9,4.9,4.8,4.8,4.9,4.9
Chevrolet,2018,"24,900",17,20,5.3,"100,017",0,,0,4.6,360,86,4.7,4.6,4.5,4.4,4.7,4.6
Volkswagen,2020,"19,724",20,27,2,"42,988",1,4.9,326,4.7,61,88,4.8,4.8,4.5,4.7,4.8,4.7
Nissan,2013,"27,298",,,5.6,"114,776",0,4.3,504,4.8,6,100,4.5,4.3,4.8,4.7,4.3,5
Jaguar,2007,"18,999",17,23,4.2,"59,782",0,3.6,6,4.7,16,93,4.7,4.7,4.9,4.3,4.7,4.4
Hyundai,2022,"23,997",26,33,2.5,"48,225",0,3.9,8,4.2,58,72,4.7,4.6,4,4.2,4.5,4.1
Ford,2022,"29,910",24,27,2,"44,580",0,4.3,12,1,,,1,1,1,1,1,1
Hyundai,2013,"10,995",20,26,2.4,"109,907",0,,2,4.6,127,92,4.7,4.7,4.5,4.5,4.8,4.5
Ford,2005,"13,000",0,0,6,"140,566",0,5,5,4.4,22,90,4.4,4.4,4.4,4.3,4.5,4.3
Kia,2021,"15,999",,,2,"77,400",0,4.8,263,4.6,74,90,4.7,4.7,4.6,4.6,4.8,4.6
Toyota,2019,"21,988",43,43,2.5,"95,839",1,4.1,,4.8,36,94,4.8,4.7,4.7,4.6,4.8,4.9
BMW,2016,"18,998",23,35,,"78,070",0,,1,4.7,53,92,4.7,4.8,4.8,4.6,4.9,4.8
Ford,2018,"19,900",22,30,2,"40,905",1,4.1,442,4.8,39,97,4.5,4.5,4.8,4.6,4.7,4.7
BMW,2024,"40,995",,,,"7,755",0,3.2,355,,,,,,,,,
Hyundai,2022,"22,615",27,37,1.6,"46,661",0,4.5,,4,7,71,4.3,4.6,4,4.1,4.1,3.9
GMC,2022,"39,590",13,18,6.2,"95,003",0,4.7,,5,2,100,5,5,5,4.5,5,5
Plymouth,1967,"40,000",0,0,,"16,896",,2.2,282,5,,,5,5,5,5,5,5
Ford,2011,"4,496",0,0,1.6,"108,709",0,,3,3.9,134,72,4,4,3.6,3.9,4.3,3.8
Hyundai,2023,"26,051",27,32,1.6,"9,025",0,,,3.9,14,78,4.2,4.1,3.8,3.9,4.3,4
Ford,2007,"10,995",14,0,5.4,"155,159",1,3.7,46,4.7,38,94,4.9,4.6,4.6,4.6,4.6,4.7
Ford,2023,"37,860",20,24,2.3,"39,074",0,,2,4,3,33,3.3,3.7,4.3,3,3.7,4
Honda,2020,"32,995",19,24,3.5,"64,094",0,4.5,191,4.6,62,87,4.7,4.6,4.6,4.4,4.5,4.6
Nissan,2018,"21,500",13,18,5.6,"96,075",0,,174,4.6,63,88,4.7,4.7,4.7,4.5,4.7,4.8
Ford,1931,"27,997",0,0,,"1,675",,3.3,65,5,4,100,3.2,3.8,4,4.8,5,4.5
Toyota,2021,"28,490",40,37,2.5,"40,564",0,4.4,586,4.6,80,90,4.7,4.7,4.6,4.6,4.9,4.7
Subaru,2023,"27,188",27,34,2.5,"4,120",1,,9,3.6,15,66,3.6,3.6,3.5,3.5,3.6,3.7
Nissan,2021,"15,911",24,26,2,"110,319",0,4.6,,4,,,4,4,4,3,4,4
Chevrolet,2017,"30,755",20,28,2.8,"81,119",1,,1,4.6,203,89,4.6,4.5,4.5,4.4,4.7,4.5
Ford,2020,"34,200",17,23,3.5,"43,082",0,,2,4.7,31,87,4.8,4.6,4.6,4.4,4.7,4.6
Dodge,2023,"26,598",19,30,3.6,"15,863",0,,0,4.9,8,100,4.9,4.8,5,4.6,4.9,4.9
Chevrolet,2011,"12,300",15,21,5.3,"140,315",0,4.4,92,4.5,63,93,4.7,4.5,4.5,4.3,4.8,4.7
Lexus,2022,"34,766",,,2,"8,365",0,4.9,,,,,,,,,,
BMW,2014,"24,276",13,17,4.4,"63,721",0,,6,4.8,13,92,4.8,4.8,5,4.5,5,4.8
Land,2023,"42,990",19,23,2,"8,836",0,5,320,3.5,4,50,3.8,3.8,3.5,3.5,3.8,3.5
Nissan,2023,"26,990",,,,"2,927",0,4.9,820,4.3,9,88,4.4,4.3,4.4,4.2,4.4,4.2
Dodge,2003,"6,800",,,4.7,"147,750",0,,,4.1,40,87,3.9,3.8,3.9,4.2,4.2,4.1
Buick,2018,"13,500",22,32,2,"129,618",0,,22,4.7,22,90,4.8,4.5,4.8,4.6,4.9,4.8
RAM,2022,"38,243",15,21,5.7,"84,895",0,,,4.5,31,87,4.7,4.8,4.5,4.4,4.7,4.5
Ford,2017,"25,591",19,25,2.3,"89,092",0,4.5,782,4.9,32,96,4.3,4.5,4.9,4.7,4.8,4.7
Lincoln,2020,"21,800",21,26,2,"75,085",0,4.8,,4.9,42,97,4.9,4.9,4.9,4.7,4.8,4.8
Mazda,2021,"20,999",24,31,2.5,"31,637",1,,53,4.8,36,91,4.7,4.8,4.6,4.7,4.8,4.8
Volkswagen,2022,"19,698",28,36,1.5,"27,514",0,4.6,297,3.3,32,50,3.9,3.8,3.2,3.2,3.9,3.2
Acura,2009,"10,900",15,20,3.7,"115,384",0,4.7,,4.7,57,91,4.8,4.6,4.6,4.5,4.6,4.7
Chevrolet,2022,"29,999",17,24,3.6,"22,247",0,4.3,309,4.2,14,85,4.4,4.4,4.1,4.3,4.9,4.4
GMC,2024,"30,900",23,28,1.5,"14,741",0,,49,5,7,100,4.7,5,5,4.9,5,5
Land,2019,"32,900",22,28,3,"58,625",0,5,7,4.8,12,91,4.8,4.9,4.8,4.3,4.9,4.7
Kia,2021,"20,079",18,24,,"68,695",0,4.4,105,4.9,8,87,5,5,4.9,4.5,5,5
Volkswagen,2022,"23,554",23,30,2,"47,061",0,4.5,245,3.2,16,43,3.9,4,3.2,3.3,4.2,3.4
RAM,2016,"27,995",16,21,5.7,"62,996",0,,6,4.5,311,88,4.7,4.6,4.6,4.4,4.7,4.5
Ford,2021,"22,677",28,33,1.5,"5,508",0,,6,4.2,21,76,4.6,4.7,4.1,4.1,4.9,4.1
Kia,2022,"23,689",25,33,1.6,"36,461",0,4.5,19,4.1,8,75,4.1,4.2,4.2,4,4.6,4.5
Chevrolet,2012,"12,694",15,21,5.3,"143,689",1,,23,4.9,25,92,5,4.8,4.8,4.6,4.8,4.7
Dodge,2021,"35,000",16,25,5.7,"19,756",0,4.7,,4.9,25,100,4.9,4.8,4.9,4.8,4.9,5
Audi,2019,"27,946",23,34,2,"21,565",0,4.9,78,4.9,16,93,4.9,4.9,4.8,4.8,4.9,4.9
Ford,2013,"10,000",47,47,2,"84,507",0,2.9,124,4.4,134,82,4.5,4.5,4.4,4.3,4.2,4.4
Subaru,2013,"14,995",23,30,2,"98,348",1,,7,4.2,78,79,4.2,4.2,3.9,4.3,4.7,4.4
Pontiac,2006,"4,450",21,29,3.5,"162,639",0,,,4,91,79,4.3,4.1,4.1,3.9,4.3,3.9
Chevrolet,2020,"35,939",0,0,6,"73,252",0,,169,5,,,5,5,5,5,4,5
Buick,2010,"7,995",17,27,3.6,"107,161",,,6,4.5,63,81,4.7,4.7,4.3,4.4,4.7,4.3
Jeep,2021,"21,998",,,,"34,315",0,,29,4.8,76,96,4.9,4.8,4.7,4.8,4.9,4.8
Kia,2023,"21,499",27,37,1.6,"40,346",0,,13,5,12,100,4.9,5,4.9,5,5,4.9
Chevrolet,2023,"39,977",16,20,5.3,"20,276",0,,5,4,7,57,4.4,4.4,4.1,4,4.4,4
Honda,2023,"27,164",29,37,1.5,"18,169",0,4.8,,3.2,9,55,3.6,3.7,3.2,3.2,3.6,3.1
Tesla,2020,"35,700",,,,"41,277",1,,11,3.6,12,66,3.9,3.8,4.2,3.5,3.7,4
GMC,2021,"39,777",20,23,5.3,"34,827",0,,0,3.8,55,61,4.3,4.2,3.8,3.6,4.3,3.5
Toyota,2023,"29,750",27,35,2.5,"7,752",0,4.5,898,3.9,17,70,4.1,4.2,3.9,3.8,4.4,4.4
Mercedes-Benz,2018,"31,999",20,26,3,"66,286",0,,11,4.8,69,94,4.9,5,4.8,4.5,4.9,4.7
Chevrolet,2020,"17,095",26,34,1.4,"31,662",1,,14,3.9,10,60,4,4,4.1,3.6,4.1,4
Lexus,2022,"36,499",,,2.5,"33,811",0,4.3,,,,,,,,,,
Buick,2022,"31,895",18,26,3.6,"61,353",0,,77,5,5,100,5,5,5,5,5,5
INFINITI,2012,"9,995",18,25,3.7,"129,889",0,,31,4.7,10,100,4.6,4.3,5,4.8,4.9,4.7
RAM,2023,"43,299",0,0,3.6,"22,494",0,4.3,184,,,,,,,,,
Volkswagen,2022,"20,894",28,36,1.5,"35,044",1,4.4,456,3.3,32,50,3.9,3.8,3.2,3.2,3.9,3.2
Honda,2020,"29,998",27,32,,"14,833",0,,14,4.8,277,94,4.9,4.8,4.8,4.8,4.9,4.9
Volvo,2010,"8,995",16,0,3.2,"121,597",0,,1,4.1,17,76,4.7,4.4,4.1,4,4.6,4.1
Audi,2022,"37,995",18,23,3,"49,809",1,4.2,29,4,2,50,4.5,4.5,4,4,4,4
Nissan,2020,"12,995",32,40,1.6,"96,633",0,,4,4.3,38,84,4.4,4.6,4.1,4.2,4.6,4.3
Genesis,2021,"37,998",21,25,,"42,207",0,,4,4.5,26,88,4.8,4.7,4.5,4.4,4.9,4.3
Chevrolet,2022,"33,777",,,2.7,"45,257",1,4.6,800,,,,,,,,,
Chevrolet,2018,"36,611",15,20,5.3,"55,249",0,3.9,11,4.6,360,86,4.7,4.6,4.5,4.4,4.7,4.6
Jeep,2019,"19,589",19,26,3.6,"89,497",0,5,39,4.8,227,96,4.9,4.9,4.8,4.6,4.9,4.8
Subaru,2019,"14,995",25,34,2.5,"80,735",1,,2,4.7,57,91,4.7,4.8,4.5,4.6,4.7,4.6
BMW,2021,"27,694",23,31,2,"36,064",0,,163,5,4,100,5,5,5,4.8,5,5
INFINITI,2011,"12,995",21,21,3.5,"63,726",0,3.5,117,4.9,16,100,4.6,4.8,4.9,4.8,4.9,4.9
GMC,2024,"27,141",24,29,1.5,"6,491",0,4.6,331,5,7,100,4.7,5,5,4.9,5,5
GMC,2017,"43,057",0,0,6.6,"96,324",0,,194,4.6,24,91,4.7,4.6,4.7,4.4,4.9,4.7
Chevrolet,2002,"13,500",13,15,5.3,"88,531",0,,6,4.4,41,92,4.5,4.3,4.4,4.4,4.4,4.5
Chevrolet,2014,"13,081",18,30,3.6,"64,051",0,,,4.6,47,93,4.7,4.6,4.7,4.6,4.6,4.7
Lexus,2015,"16,186",21,30,2.5,"117,930",1,2.6,123,4.8,69,98,4.8,4.7,4.6,4.6,4.8,4.8
Kia,2023,"25,900",27,0,1.6,"13,682",0,4.6,,5,12,100,4.9,5,4.9,5,5,4.9
Audi,2016,"10,500",,,2,"96,000",1,,,4.6,27,96,4.7,4.5,4.6,4.3,4.6,4.7
Mercedes-Benz,2015,"17,844",18,22,3,"93,305",0,,152,4.7,64,93,4.8,4.7,4.6,4.4,4.7,4.6
Ford,2013,"8,969",29,39,1.6,"52,796",0,4.2,458,3.5,168,58,3.7,3.8,3.3,3.5,4.1,3.3
Chevrolet,2022,"34,597",0,0,4.3,"31,788",0,4.4,396,,,,,,,,,
INFINITI,2021,"43,980",13,19,5.6,"33,961",0,,1,4.5,2,100,4.5,4,4.5,3.5,4.5,4.5
Toyota,2015,"19,998",,,,"26,488",0,,4,4.6,38,97,4.6,4.4,4.6,4.8,4.4,4.9
Cadillac,2017,"17,998",21,29,,"99,671",0,,5,4.2,32,78,4.5,4.4,4.6,3.9,4.6,4.2
Nissan,2024,"25,998",30,38,,"9,080",0,,0,4.5,4,75,5,5,4.5,4.5,5,4.5
Buick,2012,"10,900",,,2.4,"117,984",1,,0,4.6,73,91,4.8,4.8,4.6,4.6,4.8,4.6
Chevrolet,2006,"5,695",23,28,2.2,"137,278",1,,8,4.2,73,83,4,3.7,3.9,4.1,4.2,4.2
Volvo,2021,"37,999",0,0,2,"71,102",1,4.7,,3.3,15,46,4.7,4.2,3.7,3.1,4.5,3.1
Volkswagen,2014,"9,999",29,39,2,"107,580",0,,5,4.8,43,97,4.7,4.7,4.6,4.8,4.7,4.8
Tesla,2021,"28,998",,,,"60,680",0,,7,4.3,7,71,4.7,4.6,5,4.1,4.4,4.3
Tesla,2022,"32,988",,,,"38,155",1,,2,3.7,17,64,3.7,4.1,4.5,3.7,4.2,3.6
Honda,2019,"25,998",19,24,,"81,392",0,,7,4.7,104,91,4.8,4.7,4.7,4.5,4.7,4.8
Dodge,2007,"8,788",18,24,3.7,"63,993",0,,51,4,98,72,4.1,4,3.9,3.9,4.5,3.8
Toyota,2011,"22,411",17,21,4,"93,713",1,4.9,,4.9,17,100,4.6,4.6,4.8,4.9,4.8,4.9
Subaru,2021,"27,995",27,35,2.5,"23,117",0,,18,5,10,100,5,5,5,4.9,5,5
Nissan,2020,"20,900",20,27,3.5,"73,092",0,,2,4.6,43,90,4.9,4.8,4.7,4.7,4.7,4.7
GMC,2019,"26,970",17,25,3.6,"59,112",0,,1,4.8,135,92,4.8,4.6,4.8,4.7,4.8,4.8
Lexus,2018,"41,999",18,27,3.5,"78,320",1,4.1,,4.4,36,80,4.6,4.8,4.6,4.4,4.9,4.7
Mazda,2021,"24,998",24,31,,"30,400",0,,16,4.8,36,91,4.7,4.8,4.6,4.7,4.8,4.8
Volkswagen,2023,"28,656",25,32,1.5,"10,193",0,4.8,52,4.7,10,80,4.9,4.5,4.7,4.6,4.9,4.5
Lincoln,2022,"38,995",18,26,3,"48,050",0,,48,3.3,6,50,4.5,4.2,3.2,2.7,4.5,3.2
Mitsubishi,2023,"19,537",23,29,2,"22,691",0,4.7,564,5,,,5,5,5,5,5,5
Nissan,2020,"22,299",20,27,3.5,"56,586",0,,6,4.6,43,90,4.9,4.8,4.7,4.7,4.7,4.7
Honda,2022,"32,400",18,24,3.5,"46,807",0,4.7,,4.9,9,100,5,4.8,4.9,4.3,4.7,5
Jeep,2021,"33,995",0,0,2,"45,284",0,4.7,63,4.9,50,94,4.9,5,4.9,4.6,4.9,4.8
Kia,2023,"25,874",23,25,2.5,"25,995",0,4.7,274,4.7,15,93,4.5,4.7,4.6,4.5,4.9,4.8
Ford,2017,"33,996",19,25,,"45,811",0,4.7,,4.9,32,96,4.3,4.5,4.9,4.7,4.8,4.7
Dodge,2003,"5,999",18,18,3.9,"137,875",0,,5,4.1,40,87,3.9,3.8,3.9,4.2,4.2,4.1
Kia,2021,"15,495",29,40,2,"74,840",0,,15,4.8,51,94,4.8,4.8,4.7,4.7,4.9,4.8
Mitsubishi,2009,"7,900",19,26,2.4,"74,000",0,4.6,,4.6,32,93,4.4,4.3,4.7,4.6,4.8,4.7
Buick,2023,"28,997",23,31,2,"42,490",0,4.8,,4.2,17,82,4.1,4.5,3.8,3.8,4.6,4.3
Toyota,2019,"23,994",22,31,3.5,"87,975",0,3.9,85,4.7,116,90,4.8,4.7,4.8,4.6,4.7,4.8
Honda,2020,"25,888",30,38,1.5,"57,344",1,4.4,268,4.8,154,95,4.8,4.8,4.8,4.8,4.9,4.9
Dodge,2020,"16,995",17,25,3.6,"96,081",0,4.9,553,4.1,9,66,4.4,4.1,3.9,3.8,4.2,4
Honda,2020,"25,995",19,27,3.5,"80,796",1,,1,4.1,158,69,4.6,4.5,4.2,4,4.5,4
Chevrolet,2018,"30,532",0,0,6,"54,271",0,4.9,,4,,,4,4,4,4,5,5
Chrysler,2022,"38,998",,,,"2,963",0,,0,,,,,,,,,
Nissan,2007,"10,985",20,27,3.5,"148,485",0,4.6,351,4.7,41,97,4.2,4.3,5,4.7,5,4.8
Nissan,2020,"25,495",19,26,3.7,"56,703",0,5,14,4.8,6,100,4.3,4.5,5,4.8,5,5
Toyota,2016,"17,281",40,39,2.5,"105,260",0,4.3,82,4.7,24,91,4.8,4.8,4.7,4.5,4.8,4.6
BMW,2019,"29,998",20,28,,"54,864",0,,0,5,4,100,5,5,4.8,4,4.8,4.7
Ford,2020,"25,198",21,28,2.3,"79,462",0,4.9,286,4.3,262,79,4.7,4.6,4.4,4.2,4.7,4.2
Honda,2021,"35,497",19,24,3.5,"27,537",1,4.8,,4.7,24,95,4.7,4.5,4.7,4.5,4.6,4.8
Ford,2022,"40,848",,,3.5,"70,200",0,4.6,,,,,,,,,,
Mercedes-Benz,2018,"18,500",24,37,2,"47,931",1,,2,4.5,54,81,4.4,4.5,4.6,4.4,4.8,4.5
Kia,2012,"5,995",28,36,1.6,"126,832",0,4.8,506,4.5,27,92,4.6,4.5,4.3,4.6,4.7,4.6
Ford,2023,"28,900",25,28,1.5,"5,094",0,4.8,,4.6,18,94,4.6,4.6,4.4,4.4,4.7,4.5
Lincoln,2013,"14,444",17,23,3.7,"82,223",1,3.4,399,4.7,57,89,4.7,4.6,4.6,4.5,4.7,4.7
INFINITI,2018,"24,199",14,20,5.6,"97,537",1,,8,4.7,23,87,4.9,4.8,4.8,4.3,4.9,4.6
Ford,2018,"14,900",20,27,2,"87,073",1,4.4,147,4.6,248,89,4.8,4.7,4.6,4.5,4.8,4.6
Lexus,2015,"23,995",21,0,2.5,"71,640",0,,2,4.8,69,98,4.8,4.7,4.6,4.6,4.8,4.8
Toyota,2023,"21,298",32,41,2,"46,345",0,4.5,736,5,3,100,5,4.7,4.7,5,5,5
Jeep,2022,"38,998",,,,"4,990",0,,0,2.8,10,50,4.2,4.3,3.1,2.4,4.5,3.1
FIAT,2016,"9,499",21,30,2.4,"108,525",1,4.9,56,4.4,61,90,4.5,4.6,4.3,4.5,4.7,4.5
BMW,2008,"14,990",18,28,3,"30,721",0,,9,4.6,28,89,4.5,4.4,4.7,4.4,4.5,4.5
Mercedes-Benz,2020,"33,999",19,26,2,"63,910",0,,8,4.1,82,69,4.6,4.6,4,3.8,4.6,4
BMW,2015,"14,499",22,33,2,"101,390",0,,2,4.9,14,100,4.9,4.9,4.6,4.8,4.8,4.8
Volkswagen,2019,"17,998",22,29,,"55,344",0,,3,4.5,141,89,4.6,4.7,4.3,4.5,4.6,4.5
Jaguar,2019,"29,988",23,30,2,"41,837",0,4.4,,5,5,100,4.8,4.4,5,4.8,5,5
Ford,2023,"30,750",25,28,1.5,"8,860",0,,2,4.6,18,94,4.6,4.6,4.4,4.4,4.7,4.5
Jeep,2021,"26,217",19,26,3.6,"35,225",1,3.9,8,4.6,64,92,4.6,4.7,4.6,4.5,4.7,4.6
Chrysler,2005,"17,500",21,25,3.2,"22,900",0,3.5,37,4.8,95,95,4.2,4.2,4.8,4.8,4.9,4.6
Chrysler,2003,"2,995",20,29,2.4,"91,132",1,4,189,3.9,55,72,4.4,4.2,3.8,3.8,4.2,3.8
RAM,2018,"43,839",0,0,6.7,"54,842",1,4.7,127,4.6,65,87,4.6,4.6,4.6,4.4,4.8,4.5
Jeep,2018,"17,888",22,30,2.4,"59,300",1,4.8,,4.4,433,85,4.6,4.6,4.3,4.4,4.7,4.5
Honda,2018,"23,431",19,28,3.5,"93,927",0,4.9,,4.5,186,88,4.8,4.7,4.6,4.3,4.7,4.6
Ford,2021,"31,711",20,27,2.3,"21,576",0,,54,4.5,73,87,4.7,4.5,4.7,4.4,4.7,4.4
,,,,,,,,,,,,,,,,,,
Ford,2022,"19,990",23,29,2,"15,089",0,,6,3,2,50,3,3,2.5,3,2.5,3
Subaru,2007,"6,995",18,21,3,"165,338",0,2.3,33,4.7,20,95,4.8,5,4.2,4.7,4.6,4.8
Jaguar,2005,"11,000",18,26,4.2,"97,992",0,2.2,282,4.8,10,100,4.7,4.7,4.6,4.9,4.9,4.7
Subaru,2015,"15,774",26,33,2,"83,060",0,,1,4.6,44,93,4.5,4.4,4.3,4.6,4.7,4.7
Ford,2021,"41,995",14,13,2.7,"38,421",0,,1,4.5,12,91,4.5,4.2,4.8,4.8,4.5,4.6
Nissan,2023,"36,692",20,30,3.5,"8,213",0,4.7,199,5,2,100,5,5,5,4.5,5,5
Ford,2020,"17,995",21,29,2,"58,287",0,4.5,451,4.9,152,96,4.9,4.9,4.8,4.7,4.8,4.9
BMW,2011,"8,899",18,27,3,"125,437",0,5,7,4.6,146,94,4.5,4.5,4.8,4.4,4.7,4.4
Volvo,2023,"40,743",20,26,2,"54,373",0,4.1,66,5,,,5,5,4,4,4,5
Pontiac,2007,"5,990",19,23,3.4,"85,468",0,,1,4.3,24,91,4.3,4,4.3,4.4,4.5,4.3
Chevrolet,2019,"31,999",0,0,4.3,"39,526",0,,236,5,2,100,4,5,5,5,5,5
Toyota,2003,"14,995",26,30,1.8,"46,715",0,,5,4.9,35,100,4.1,4.5,4.6,4.9,4.8,5
Honda,2024,"28,142",31,39,1.5,"1,955",0,4.8,,5,5,100,5,5,5,5,5,5
Kia,2023,"28,498",23,28,2.5,"29,052",0,4.8,386,4.1,34,73,4.6,4.6,4.1,4.1,4.5,4.1
Acura,2012,"14,990",22,31,2.4,"58,029",1,4.4,289,4.8,51,96,4.8,4.6,4.6,4.5,4.8,4.9
Chevrolet,2022,"38,991",,,6.2,"77,028",0,,90,,,,,,,,,
Lexus,2016,"15,980",22,28,2,"111,471",1,,4,4.8,68,95,4.8,4.8,4.8,4.7,4.9,4.9
Hummer,2006,"20,600",0,0,6,"139,055",0,4.3,671,4.5,49,93,4.6,4.4,4.4,4.4,4.7,4.7
Lexus,2015,"22,876",30,28,3.5,"78,822",1,4.6,234,5,26,96,5,4.8,4.8,4.8,4.8,5
Honda,2019,"38,900",22,28,2,"12,822",0,2.3,18,4.8,12,83,4.6,4.7,5,4.8,4.8,4.8
Toyota,2011,"18,500",22,22,4,"150,402",0,,16,4.7,66,93,4.6,4.5,4.5,4.7,4.7,4.8
Mercedes-Benz,2018,"32,985",20,29,3,"61,290",0,,23,5,,,4,5,5,5,5,5
Chevrolet,2021,"37,994",16,22,5.3,"64,596",1,5,333,4.3,84,77,4.6,4.5,4.4,4.1,4.6,4.1
Dodge,2013,"7,990",13,24,3.6,"128,893",0,4.8,81,4.3,102,87,4.5,4.4,4.2,4.4,4.4,4.3
BMW,2020,"32,593",22,30,3,"41,684",0,1.9,325,5,2,100,5,5,5,4,5,4.5
Cadillac,2016,"19,900",21,29,2,"56,851",0,4.3,182,4.6,35,97,4.6,4.5,4.7,4.5,4.8,4.6
Chrysler,2017,"16,594",19,28,3.6,"66,171",0,4.5,794,4.6,379,90,4.8,4.7,4.6,4.4,4.8,4.5
Genesis,2018,"29,997",15,23,5,"17,176",0,4.6,117,4.9,96,94,4.9,4.8,4.8,4.8,4.8,4.9
Hyundai,2022,"21,713",28,33,2,"16,127",0,4.8,869,4.3,15,86,4.3,4.2,4.3,4.5,4.7,4.4
Honda,2012,"10,955",18,27,3.5,"133,111",1,4.4,,4.6,116,89,4.7,4.6,4.5,4.4,4.5,4.6
,,,,,,,,,,,,,,,,,,
Chrysler,2023,"27,998",,,,"37,151",,,1,,,,,,,,,
